payment_id,customer_id,amount_inr,currency,payment_method,payment_status,failure_reason,previous_successes,previous_failures,retry_count,customer_ltv_inr,subscription_status,recovered,outcome
pay_000063,cust_33819,3033.65,INR,netbanking,failed,bank_declined,7,0,1,33259.71,halted,0,failed_unrecovered
pay_000064,cust_99951,6844.47,INR,upi,failed,insufficient_balance,7,1,1,63729.06,halted,1,failed_recovered
pay_000065,cust_14090,3624.81,INR,upi,failed,insufficient_balance,4,2,1,32529.33,none,1,failed_recovered
pay_000066,cust_36504,4817.73,INR,card,failed,network_timeout,6,0,0,44671.95,pending,0,failed_unrecovered
pay_000067,cust_26927,3918.32,INR,upi,failed,network_timeout,4,1,2,20705.78,active,1,failed_recovered
pay_000068,cust_46104,606.27,INR,netbanking,failed,network_timeout,8,1,3,5875.68,pending,1,failed_recovered
pay_000069,cust_35672,2488.08,INR,upi,failed,bank_declined,4,0,1,15414.0,pending,0,failed_unrecovered
pay_000070,cust_46483,3863.53,INR,wallet,failed,authentication_failure,2,4,0,13988.35,pending,0,failed_unrecovered
pay_000071,cust_96489,761.04,INR,card,failed,unknown,5,2,2,7331.15,pending,0,failed_unrecovered
pay_000072,cust_87980,1068.23,INR,upi,failed,authentication_failure,6,2,0,9434.43,active,1,failed_recovered
pay_000073,cust_91090,873.64,INR,upi,failed,network_timeout,4,0,2,5831.11,pending,0,failed_unrecovered
pay_000074,cust_67342,3607.98,INR,netbanking,failed,card_expired,5,1,1,32534.68,halted,0,failed_unrecovered
pay_000075,cust_68381,1691.19,INR,card,failed,unknown,7,1,0,19105.78,halted,0,failed_unrecovered
pay_000076,cust_69145,1348.54,INR,card,failed,card_expired,8,3,1,13551.4,pending,0,failed_unrecovered
pay_000077,cust_78591,567.95,INR,card,failed,insufficient_balance,4,2,2,2947.19,active,1,failed_recovered
pay_000078,cust_92445,1694.07,INR,upi,failed,bank_declined,5,0,1,11128.31,pending,0,failed_unrecovered
pay_000079,cust_28629,1080.0,INR,upi,failed,insufficient_balance,6,1,1,11276.35,halted,0,failed_unrecovered
pay_000080,cust_14873,2240.71,INR,upi,failed,unknown,2,1,0,10457.63,pending,1,failed_recovered
pay_000081,cust_62229,643.47,INR,netbanking,failed,bank_declined,3,1,0,3150.64,halted,0,failed_unrecovered
pay_000082,cust_40035,2112.56,INR,card,failed,bank_declined,6,1,1,23126.83,pending,0,failed_unrecovered
pay_000083,cust_90804,1212.56,INR,upi,failed,network_timeout,3,2,0,5908.9,active,1,failed_recovered
pay_000084,cust_96283,584.74,INR,upi,failed,bank_declined,5,0,2,5387.41,halted,0,failed_unrecovered
pay_000085,cust_51655,545.11,INR,upi,failed,insufficient_balance,8,2,3,7085.8,active,1,failed_recovered
pay_000086,cust_57068,624.05,INR,upi,failed,bank_declined,2,1,2,2223.18,pending,0,failed_unrecovered
pay_000087,cust_68010,1494.85,INR,card,failed,network_timeout,3,1,1,10047.08,active,0,failed_unrecovered
pay_000088,cust_76256,2007.08,INR,card,failed,bank_declined,3,2,0,14724.59,active,0,failed_unrecovered
pay_000089,cust_61406,2294.76,INR,netbanking,failed,network_timeout,7,2,1,26809.14,pending,0,failed_unrecovered
pay_000090,cust_84523,2374.02,INR,card,failed,insufficient_balance,7,1,0,21798.7,pending,1,failed_recovered
pay_000091,cust_61251,909.48,INR,upi,failed,insufficient_balance,7,0,2,7562.81,halted,0,failed_unrecovered
pay_000092,cust_26500,4666.22,INR,card,failed,insufficient_balance,3,4,0,19381.31,halted,0,failed_unrecovered
pay_000093,cust_93048,1208.99,INR,card,failed,card_expired,2,2,0,5357.35,halted,1,failed_recovered
pay_000094,cust_22423,2699.11,INR,card,failed,authentication_failure,4,1,1,15141.25,pending,1,failed_recovered
pay_000095,cust_18532,1552.78,INR,card,failed,authentication_failure,5,1,0,11574.72,pending,0,failed_unrecovered
pay_000096,cust_82780,2524.0,INR,card,failed,card_expired,7,0,0,29255.44,pending,1,failed_recovered
pay_000097,cust_90998,1484.22,INR,card,failed,bank_declined,5,2,3,10286.36,pending,0,failed_unrecovered
pay_000098,cust_67609,2565.26,INR,card,failed,network_timeout,4,0,0,18807.03,pending,0,failed_unrecovered
pay_000099,cust_29225,1788.07,INR,upi,failed,insufficient_balance,9,1,3,24870.36,none,0,failed_unrecovered
pay_000100,cust_89008,3744.33,INR,upi,failed,insufficient_balance,6,1,0,31898.88,active,0,failed_unrecovered
pay_000101,cust_90478,861.54,INR,upi,failed,unknown,12,0,3,11938.41,none,0,failed_unrecovered
pay_000102,cust_36272,366.0,INR,card,failed,bank_declined,3,1,0,2849.91,active,0,failed_unrecovered
pay_000103,cust_30667,749.59,INR,upi,failed,unknown,4,1,0,5488.07,active,0,failed_unrecovered
pay_000104,cust_44407,4710.59,INR,card,failed,card_expired,6,1,0,34003.91,active,0,failed_unrecovered
pay_000105,cust_88591,1566.25,INR,netbanking,failed,network_timeout,6,0,1,11773.17,pending,0,failed_unrecovered
pay_000106,cust_99398,1955.49,INR,upi,failed,insufficient_balance,4,3,0,14320.94,active,0,failed_unrecovered
pay_000107,cust_92044,697.34,INR,upi,failed,card_expired,2,2,1,3440.29,none,0,failed_unrecovered
pay_000108,cust_85890,1909.39,INR,card,failed,bank_declined,5,3,1,14878.49,none,0,failed_unrecovered
pay_000109,cust_48889,716.95,INR,upi,failed,card_expired,8,2,1,8021.73,pending,1,failed_recovered
pay_000110,cust_76771,818.39,INR,upi,failed,insufficient_balance,6,3,1,6917.73,pending,0,failed_unrecovered
pay_000111,cust_20676,1253.01,INR,upi,failed,card_expired,2,1,1,7937.55,none,1,failed_recovered
pay_000112,cust_78562,2686.86,INR,upi,failed,insufficient_balance,4,1,0,23602.94,none,0,failed_unrecovered
pay_000113,cust_99874,2957.81,INR,wallet,failed,network_timeout,4,3,0,18515.1,pending,0,failed_unrecovered
pay_000114,cust_37934,3031.1,INR,netbanking,failed,bank_declined,4,0,1,23383.67,halted,0,failed_unrecovered
pay_000115,cust_50605,431.07,INR,card,failed,insufficient_balance,2,0,0,1946.83,pending,1,failed_recovered
pay_000116,cust_15564,1789.24,INR,netbanking,failed,insufficient_balance,5,2,1,11857.08,pending,0,failed_unrecovered
pay_000117,cust_88952,1507.85,INR,netbanking,failed,insufficient_balance,8,2,0,14835.22,active,1,failed_recovered
pay_000118,cust_80229,453.31,INR,upi,failed,bank_declined,4,3,0,2705.51,pending,1,failed_recovered
pay_000119,cust_59016,1826.08,INR,netbanking,failed,insufficient_balance,7,0,2,18205.92,active,0,failed_unrecovered
pay_000120,cust_32498,1436.78,INR,card,failed,network_timeout,2,3,0,5816.68,active,1,failed_recovered
pay_000121,cust_48321,2852.4,INR,netbanking,failed,insufficient_balance,3,2,0,17281.89,halted,0,failed_unrecovered
pay_000122,cust_77705,1936.55,INR,netbanking,failed,insufficient_balance,3,1,0,7747.07,none,0,failed_unrecovered
pay_000123,cust_21675,1097.9,INR,upi,failed,authentication_failure,5,2,3,7958.33,none,1,failed_recovered
pay_000124,cust_42763,4141.15,INR,upi,failed,network_timeout,4,0,1,27169.61,pending,0,failed_unrecovered
pay_000125,cust_92415,243.82,INR,upi,failed,insufficient_balance,6,1,1,2313.93,pending,0,failed_unrecovered
pay_000126,cust_12200,1698.84,INR,card,failed,authentication_failure,6,0,1,12214.52,active,0,failed_unrecovered
pay_000127,cust_83844,368.2,INR,netbanking,failed,bank_declined,4,0,2,3200.42,halted,1,failed_recovered
pay_000128,cust_52557,792.01,INR,netbanking,failed,authentication_failure,3,2,0,4152.06,active,0,failed_unrecovered
pay_000129,cust_22497,2886.71,INR,upi,failed,bank_declined,2,3,2,14375.1,active,0,failed_unrecovered
pay_000130,cust_85216,571.79,INR,card,failed,network_timeout,5,2,3,5020.38,pending,0,failed_unrecovered
pay_000131,cust_10813,499.79,INR,upi,failed,unknown,5,2,0,3735.55,active,1,failed_recovered
pay_000132,cust_69497,15356.47,INR,upi,failed,insufficient_balance,3,0,0,100116.43,active,0,failed_unrecovered
pay_000133,cust_24100,529.63,INR,upi,failed,bank_declined,2,2,0,2634.25,none,1,failed_recovered
pay_000134,cust_82052,7950.66,INR,upi,failed,bank_declined,3,3,0,46887.93,active,0,failed_unrecovered
pay_000135,cust_62934,1541.58,INR,wallet,failed,insufficient_balance,4,0,2,8840.64,active,0,failed_unrecovered
pay_000136,cust_90030,1122.37,INR,upi,failed,insufficient_balance,8,2,1,11863.11,active,0,failed_unrecovered
pay_000137,cust_80892,2997.85,INR,card,failed,insufficient_balance,5,1,2,20468.7,active,0,failed_unrecovered
pay_000138,cust_99535,5993.77,INR,card,failed,network_timeout,7,2,0,66910.03,active,1,failed_recovered
pay_000139,cust_16782,641.67,INR,upi,failed,bank_declined,2,3,2,2265.52,halted,0,failed_unrecovered
pay_000140,cust_32002,1137.19,INR,wallet,failed,bank_declined,7,1,0,9290.95,active,0,failed_unrecovered
pay_000141,cust_31877,3857.31,INR,wallet,failed,insufficient_balance,4,0,1,25355.68,none,0,failed_unrecovered
pay_000142,cust_56405,2332.6,INR,upi,failed,bank_declined,3,2,2,9476.37,active,0,failed_unrecovered
pay_000143,cust_35489,4852.59,INR,card,failed,unknown,5,2,1,36059.74,pending,0,failed_unrecovered
pay_000144,cust_27520,2861.62,INR,upi,failed,card_expired,4,3,0,23241.61,halted,0,failed_unrecovered
pay_000145,cust_61352,9163.13,INR,upi,failed,bank_declined,7,1,1,102601.35,pending,1,failed_recovered
pay_000146,cust_29775,2113.86,INR,upi,failed,authentication_failure,7,1,0,20119.13,pending,0,failed_unrecovered
pay_000147,cust_39318,2197.71,INR,card,failed,authentication_failure,6,2,1,20837.0,none,0,failed_unrecovered
pay_000148,cust_11327,2404.49,INR,card,failed,bank_declined,6,3,0,22801.01,active,0,failed_unrecovered
pay_000149,cust_52741,1583.36,INR,upi,failed,authentication_failure,3,0,4,9079.85,pending,0,failed_unrecovered
pay_000150,cust_77959,3861.54,INR,upi,failed,card_expired,9,2,1,46959.87,none,1,failed_recovered
pay_000151,cust_64980,2228.04,INR,netbanking,failed,authentication_failure,4,0,0,16699.36,active,1,failed_recovered
pay_000152,cust_60408,3658.85,INR,upi,failed,insufficient_balance,7,1,0,35720.04,active,0,failed_unrecovered
pay_000153,cust_97890,4211.57,INR,upi,failed,card_expired,6,2,1,45410.79,active,0,failed_unrecovered
pay_000154,cust_32414,2646.92,INR,card,failed,insufficient_balance,1,0,1,14449.79,pending,0,failed_unrecovered
pay_000155,cust_81906,2827.33,INR,wallet,failed,authentication_failure,0,0,0,10767.73,active,0,failed_unrecovered
pay_000156,cust_86230,725.05,INR,upi,failed,bank_declined,5,1,1,5988.77,active,0,failed_unrecovered
pay_000157,cust_99209,1096.88,INR,card,failed,insufficient_balance,7,3,2,11808.66,pending,0,failed_unrecovered
pay_000158,cust_30928,3845.22,INR,card,failed,insufficient_balance,6,1,2,39683.47,pending,0,failed_unrecovered
pay_000159,cust_29212,6482.17,INR,upi,failed,unknown,5,2,0,41911.7,active,0,failed_unrecovered
pay_000160,cust_41055,313.93,INR,card,failed,authentication_failure,1,0,0,767.07,active,0,failed_unrecovered
pay_000161,cust_91586,1079.73,INR,upi,failed,bank_declined,5,2,2,8111.7,pending,0,failed_unrecovered
pay_000162,cust_86120,1838.68,INR,card,failed,bank_declined,8,1,0,23488.42,none,1,failed_recovered
pay_000163,cust_69480,815.82,INR,card,failed,bank_declined,9,0,2,8602.66,pending,1,failed_recovered
pay_000164,cust_14867,858.58,INR,card,failed,card_expired,3,2,2,5195.3,halted,1,failed_recovered
pay_000165,cust_45682,2759.96,INR,upi,failed,unknown,3,2,0,13530.76,active,1,failed_recovered
pay_000166,cust_79444,7470.97,INR,netbanking,failed,insufficient_balance,3,0,1,34472.94,active,0,failed_unrecovered
pay_000167,cust_40849,289.14,INR,upi,failed,bank_declined,3,2,2,2170.1,pending,0,failed_unrecovered
pay_000168,cust_32327,1543.97,INR,upi,failed,card_expired,7,0,3,16634.56,none,0,failed_unrecovered
pay_000169,cust_58935,2731.19,INR,upi,failed,bank_declined,5,2,0,23429.38,pending,0,failed_unrecovered
pay_000170,cust_91800,3632.71,INR,card,failed,bank_declined,5,1,4,30102.25,none,0,failed_unrecovered
pay_000171,cust_28296,2398.88,INR,card,failed,bank_declined,3,3,1,16497.98,none,0,failed_unrecovered
pay_000172,cust_71196,8785.03,INR,upi,failed,insufficient_balance,7,1,0,97067.38,active,0,failed_unrecovered
pay_000173,cust_78705,1847.44,INR,card,failed,bank_declined,7,2,2,17516.0,active,0,failed_unrecovered
pay_000174,cust_66052,5862.52,INR,upi,failed,insufficient_balance,2,0,2,26805.11,active,0,failed_unrecovered
pay_000175,cust_35869,1006.07,INR,card,failed,insufficient_balance,6,2,1,7834.19,pending,0,failed_unrecovered
pay_000176,cust_17271,1896.43,INR,upi,failed,insufficient_balance,5,0,0,17923.26,active,1,failed_recovered
pay_000177,cust_88040,604.32,INR,card,failed,network_timeout,2,1,0,2138.56,none,0,failed_unrecovered
pay_000178,cust_81156,4049.38,INR,upi,failed,bank_declined,5,0,2,33186.87,active,0,failed_unrecovered
pay_000179,cust_44266,1615.09,INR,wallet,failed,bank_declined,1,0,0,3422.85,active,0,failed_unrecovered
pay_000180,cust_90589,2483.89,INR,upi,failed,network_timeout,4,1,0,17473.6,active,0,failed_unrecovered
pay_000181,cust_18677,1357.65,INR,upi,failed,network_timeout,7,1,3,15525.16,none,0,failed_unrecovered
pay_000182,cust_60548,3051.31,INR,upi,failed,bank_declined,5,0,3,29623.39,pending,0,failed_unrecovered
pay_000183,cust_94162,2574.04,INR,wallet,failed,card_expired,5,0,1,24128.73,none,0,failed_unrecovered
pay_000184,cust_10901,735.36,INR,netbanking,failed,card_expired,2,3,0,4452.51,none,0,failed_unrecovered
pay_000185,cust_86998,774.68,INR,upi,failed,network_timeout,5,1,4,5139.28,pending,1,failed_recovered
pay_000186,cust_76748,1755.57,INR,card,failed,bank_declined,6,2,0,16483.52,active,0,failed_unrecovered
pay_000187,cust_39490,3258.94,INR,netbanking,failed,authentication_failure,3,1,0,14627.23,active,0,failed_unrecovered
pay_000188,cust_95010,9625.28,INR,card,failed,authentication_failure,6,0,3,70485.72,active,0,failed_unrecovered
pay_000189,cust_48619,2364.29,INR,card,failed,insufficient_balance,4,2,0,11925.63,halted,0,failed_unrecovered
pay_000190,cust_91217,4457.4,INR,upi,failed,insufficient_balance,5,1,1,30752.29,active,0,failed_unrecovered
pay_000191,cust_85921,421.57,INR,upi,failed,network_timeout,4,0,0,3359.93,active,1,failed_recovered
pay_000192,cust_89110,11017.08,INR,netbanking,failed,card_expired,9,2,1,131333.25,pending,0,failed_unrecovered
pay_000193,cust_26844,3104.66,INR,netbanking,failed,insufficient_balance,11,2,0,39313.44,pending,0,failed_unrecovered
pay_000194,cust_72114,1721.41,INR,card,failed,authentication_failure,5,1,0,12037.43,pending,1,failed_recovered
pay_000195,cust_45726,1552.02,INR,upi,failed,insufficient_balance,4,1,0,9415.22,active,1,failed_recovered
pay_000196,cust_91557,664.52,INR,upi,failed,unknown,5,1,0,6173.51,none,0,failed_unrecovered
pay_000197,cust_93873,859.53,INR,card,failed,network_timeout,4,0,0,5258.13,pending,1,failed_recovered
pay_000198,cust_87417,10046.04,INR,netbanking,failed,network_timeout,6,0,4,78837.03,active,0,failed_unrecovered
pay_000199,cust_95385,739.1,INR,netbanking,failed,insufficient_balance,4,3,0,4949.57,halted,0,failed_unrecovered
pay_000200,cust_78637,726.4,INR,card,failed,insufficient_balance,5,1,0,6927.52,none,1,failed_recovered
pay_000201,cust_80320,956.75,INR,card,failed,bank_declined,5,3,0,8598.38,active,0,failed_unrecovered
pay_000202,cust_26287,612.27,INR,upi,failed,insufficient_balance,3,1,1,4087.8,pending,1,failed_recovered
pay_000203,cust_79327,1824.97,INR,upi,failed,card_expired,2,3,0,12185.64,pending,0,failed_unrecovered
pay_000204,cust_26797,4796.11,INR,netbanking,failed,card_expired,7,2,1,53661.68,active,0,failed_unrecovered
pay_000205,cust_67949,1039.09,INR,card,failed,insufficient_balance,6,1,0,8672.13,none,0,failed_unrecovered
pay_000206,cust_31215,522.98,INR,upi,failed,insufficient_balance,4,0,2,2730.11,active,1,failed_recovered
pay_000207,cust_92084,2340.73,INR,upi,failed,authentication_failure,4,0,0,12606.17,halted,0,failed_unrecovered
pay_000208,cust_97385,1711.88,INR,card,failed,insufficient_balance,4,0,2,11169.01,pending,1,failed_recovered
pay_000209,cust_12629,4438.16,INR,upi,failed,insufficient_balance,3,1,2,24065.19,pending,0,failed_unrecovered
pay_000210,cust_55266,1195.7,INR,upi,failed,bank_declined,5,2,3,11204.36,active,0,failed_unrecovered
pay_000211,cust_35504,1424.25,INR,card,failed,unknown,5,1,1,14138.84,active,1,failed_recovered
pay_000212,cust_51161,1573.35,INR,card,failed,card_expired,0,2,3,7600.22,active,0,failed_unrecovered
pay_000213,cust_51486,1950.12,INR,card,failed,insufficient_balance,6,3,1,18778.95,active,1,failed_recovered
pay_000214,cust_76499,1264.25,INR,upi,failed,bank_declined,5,1,0,9630.53,active,1,failed_recovered
pay_000215,cust_70256,1092.65,INR,card,failed,unknown,9,0,1,12545.82,none,1,failed_recovered
pay_000216,cust_36820,340.43,INR,upi,failed,authentication_failure,4,1,2,1735.12,active,0,failed_unrecovered
pay_000217,cust_82142,1082.14,INR,upi,failed,bank_declined,8,2,3,13501.98,halted,0,failed_unrecovered
pay_000218,cust_18183,3426.32,INR,card,failed,card_expired,7,1,0,39775.45,pending,0,failed_unrecovered
pay_000219,cust_69855,3869.04,INR,card,failed,bank_declined,4,0,3,22505.91,halted,0,failed_unrecovered
pay_000220,cust_67757,1177.96,INR,netbanking,failed,insufficient_balance,6,1,1,9903.89,none,0,failed_unrecovered
pay_000221,cust_56243,5796.9,INR,card,failed,network_timeout,9,1,2,72324.11,active,0,failed_unrecovered
pay_000222,cust_60978,1754.09,INR,card,failed,network_timeout,7,1,3,16098.75,none,0,failed_unrecovered
pay_000223,cust_53408,539.95,INR,upi,failed,unknown,1,1,0,1843.78,pending,0,failed_unrecovered
pay_000224,cust_45580,406.83,INR,upi,failed,card_expired,7,1,0,4004.52,none,0,failed_unrecovered
pay_000225,cust_25526,5388.24,INR,upi,failed,insufficient_balance,9,1,1,61714.47,pending,1,failed_recovered
pay_000226,cust_91283,1286.7,INR,upi,failed,bank_declined,4,1,1,6992.54,pending,0,failed_unrecovered
pay_000227,cust_75518,603.58,INR,wallet,failed,network_timeout,5,2,2,5378.59,active,0,failed_unrecovered
pay_000228,cust_49069,235.61,INR,upi,failed,authentication_failure,2,2,1,857.28,active,1,failed_recovered
pay_000229,cust_85740,1260.67,INR,netbanking,failed,insufficient_balance,5,1,2,11885.93,pending,1,failed_recovered
pay_000230,cust_59485,2591.05,INR,card,failed,card_expired,2,1,0,11136.56,none,0,failed_unrecovered
pay_000231,cust_74985,960.66,INR,card,failed,bank_declined,0,0,1,1943.18,halted,1,failed_recovered
pay_000232,cust_67944,697.58,INR,card,failed,card_expired,4,3,0,5470.23,active,0,failed_unrecovered
pay_000233,cust_13080,1097.84,INR,card,failed,authentication_failure,5,3,1,9979.25,none,0,failed_unrecovered
pay_000234,cust_85983,5510.52,INR,card,failed,bank_declined,5,2,4,39932.96,halted,0,failed_unrecovered
pay_000235,cust_64243,513.81,INR,upi,failed,authentication_failure,5,2,0,4936.37,active,1,failed_recovered
pay_000236,cust_62420,1010.31,INR,card,failed,bank_declined,5,0,0,8745.9,active,1,failed_recovered
pay_000237,cust_19748,5351.99,INR,upi,failed,authentication_failure,6,2,1,40213.28,active,0,failed_unrecovered
pay_000238,cust_84330,2808.2,INR,upi,failed,card_expired,8,0,1,26898.08,none,0,failed_unrecovered
pay_000239,cust_19066,2114.89,INR,card,failed,authentication_failure,6,0,1,16708.96,none,1,failed_recovered
pay_000240,cust_15561,1004.19,INR,upi,failed,card_expired,2,0,0,6155.39,active,0,failed_unrecovered
pay_000241,cust_11755,1850.1,INR,wallet,failed,bank_declined,5,1,0,18024.05,active,0,failed_unrecovered
pay_000242,cust_68311,1109.31,INR,wallet,failed,insufficient_balance,1,0,3,5651.13,halted,0,failed_unrecovered
pay_000243,cust_37649,830.56,INR,netbanking,failed,bank_declined,3,0,0,3404.14,none,0,failed_unrecovered
pay_000244,cust_46325,680.95,INR,upi,failed,card_expired,10,2,0,7894.47,halted,0,failed_unrecovered
pay_000245,cust_26298,3645.42,INR,upi,failed,card_expired,3,0,1,22314.94,pending,0,failed_unrecovered
pay_000246,cust_52362,1704.75,INR,wallet,failed,unknown,6,3,0,15866.94,active,0,failed_unrecovered
pay_000247,cust_24449,2388.94,INR,card,failed,insufficient_balance,3,1,0,17567.98,pending,0,failed_unrecovered
